Tahun,Dasarian_Tahunan,Curah_Hujan_Dasarian,Jumlah_Data_Tersedia,Jumlah_Hari,Persentase_Kelengkapan
2010,30,53.0,11,11,100.0
2010,31,3.0,10,10,100.0
2010,32,39.0,10,10,100.0
2010,33,106.0,10,10,100.0
2010,34,24.0,10,10,100.0
2010,35,47.0,10,10,100.0
2010,36,38.0,11,11,100.0
2011,1,127.0,10,10,100.0
2011,2,37.0,10,10,100.0
2011,3,79.0,11,11,100.0
2011,4,47.0,10,10,100.0
2011,5,4.0,10,10,100.0
2011,6,40.0,8,8,100.0
2011,7,68.0,10,10,100.0
2011,8,85.0,10,10,100.0
2011,9,51.4,11,11,100.0
2011,10,80.0,10,10,100.0
2011,11,1.0,10,10,100.0
2011,12,26.0,10,10,100.0
2011,13,53.3,10,10,100.0
2011,14,10.0,10,10,100.0
2011,15,22.0,11,11,100.0
2011,16,12.0,10,10,100.0
2011,17,3.0,10,10,100.0
2011,18,23.0,10,10,100.0
2011,19,30.0,10,10,100.0
2011,20,3.0,10,10,100.0
2011,21,46.0,11,11,100.0
2011,22,0.0,10,10,100.0
2011,23,0.0,10,10,100.0
2011,24,0.0,11,11,100.0
2011,25,1.1,10,10,100.0
2011,26,31.0,10,10,100.0
2011,27,0.0,10,10,100.0
2011,28,23.0,10,10,100.0
2011,29,5.0,10,10,100.0
2011,30,43.0,11,11,100.0
2011,31,7.0,10,10,100.0
2011,32,7.0,10,10,100.0
2011,33,65.0,10,10,100.0
2011,34,34.0,10,10,100.0
2011,35,19.0,10,10,100.0
2011,36,59.0,11,11,100.0
2012,1,144.0,10,10,100.0
2012,2,73.0,10,10,100.0
2012,3,85.0,11,11,100.0
2012,4,52.0,10,10,100.0
2012,5,78.0,10,10,100.0
2012,6,61.0,9,9,100.0
2012,7,55.0,10,10,100.0
2012,8,31.0,10,10,100.0
2012,9,5.0,11,11,100.0
2012,10,112.0,10,10,100.0
2012,11,51.0,10,10,100.0
2012,12,21.0,10,10,100.0
2012,13,70.0,10,10,100.0
2012,14,0.0,10,10,100.0
2012,15,28.0,11,11,100.0
2012,16,34.0,10,10,100.0
2012,17,0.0,10,10,100.0
2012,18,2.0,10,10,100.0
2012,19,15.0,10,10,100.0
2012,20,1.0,10,10,100.0
2012,21,0.0,11,11,100.0
2012,22,0.0,10,10,100.0
2012,23,0.0,10,10,100.0
2012,24,0.0,11,11,100.0
2012,25,0.0,10,10,100.0
2012,26,7.0,10,10,100.0
2012,27,0.0,10,10,100.0
2012,28,8.0,10,10,100.0
2012,29,40.4,10,10,100.0
2012,30,78.0,11,11,100.0
2012,31,4.0,10,10,100.0
2012,32,19.0,10,10,100.0
2012,33,27.8,10,10,100.0
2012,34,44.8,10,10,100.0
2012,35,15.2,10,10,100.0
2012,36,35.0,11,11,100.0
2013,1,114.0,10,10,100.0
2013,2,211.0,10,10,100.0
2013,3,99.0,11,11,100.0
2013,4,81.6,10,10,100.0
2013,5,93.8,10,10,100.0
2013,6,36.6,8,8,100.0
2013,7,175.0,10,10,100.0
2013,8,45.0,10,10,100.0
2013,9,4.0,11,11,100.0
2013,10,67.3,10,10,100.0
2013,11,12.8,10,10,100.0
2013,12,23.5,10,10,100.0
2013,13,117.0,10,10,100.0
2013,14,62.0,10,10,100.0
2013,15,82.0,11,11,100.0
2013,16,12.0,10,10,100.0
2013,17,41.0,10,10,100.0
2013,18,7.0,10,10,100.0
2013,19,113.9,10,10,100.0
2013,20,109.0,10,10,100.0
2013,21,20.7,11,11,100.0
2013,22,35.8,10,10,100.0
2013,23,86.0,10,10,100.0
2013,24,0.0,11,11,100.0
2013,25,16.0,10,10,100.0
2013,26,12.0,10,10,100.0
2013,27,7.0,10,10,100.0
2013,28,70.4,10,10,100.0
2013,29,4.5,10,10,100.0
2013,30,8.6,11,11,100.0
2013,31,28.0,10,10,100.0
2013,32,115.0,10,10,100.0
2013,33,6.0,10,10,100.0
2013,34,88.0,10,10,100.0
2013,35,170.0,10,10,100.0
2013,36,123.0,11,11,100.0
2014,1,118.3,10,10,100.0
2014,2,155.0,10,10,100.0
2014,3,103.0,11,11,100.0
2014,4,89.0,10,10,100.0
2014,5,49.7,10,10,100.0
2014,6,73.3,8,8,100.0
2014,7,14.0,10,10,100.0
2014,8,69.3,10,10,100.0
2014,9,19.299999999999997,11,11,100.0
2014,10,16.6,10,10,100.0
2014,11,4.7,10,10,100.0
2014,12,50.599999999999994,10,10,100.0
2014,13,0.9,10,10,100.0
2014,14,27.5,10,10,100.0
2014,15,84.7,11,11,100.0
2014,16,3.9,10,10,100.0
2014,17,33.0,10,10,100.0
2014,18,27.8,10,10,100.0
2014,19,65.3,10,10,100.0
2014,20,139.3,10,10,100.0
2014,21,28.0,11,11,100.0
2014,22,0.0,10,10,100.0
2014,23,9.6,10,10,100.0
2014,24,0.0,11,11,100.0
2014,25,5.4,10,10,100.0
2014,26,16.4,10,10,100.0
2014,27,0.0,10,10,100.0
2014,28,0.0,10,10,100.0
2014,29,0.0,10,10,100.0
2014,30,21.0,11,11,100.0
2014,31,7.0,10,10,100.0
2014,32,60.6,10,10,100.0
2014,33,87.4,10,10,100.0
2014,34,45.7,10,10,100.0
2014,35,21.5,10,10,100.0
2014,36,71.7,11,11,100.0
2015,1,182.9,10,10,100.0
2015,2,131.5,10,10,100.0
2015,3,48.3,11,11,100.0
2015,4,153.8,10,10,100.0
2015,5,54.3,10,10,100.0
2015,6,33.3,8,8,100.0
2015,7,109.19999999999999,10,10,100.0
2015,8,36.2,10,10,100.0
2015,9,48.10000000000001,11,11,100.0
2015,10,8.4,10,10,100.0
2015,11,39.9,10,10,100.0
2015,12,82.4,10,10,100.0
2015,13,26.5,10,10,100.0
2015,14,12.6,10,10,100.0
2015,15,0.0,11,11,100.0
2015,16,83.2,10,10,100.0
2015,17,0.2,10,10,100.0
2015,18,0.0,10,10,100.0
2015,19,0.0,10,10,100.0
2015,20,4.2,10,10,100.0
2015,21,0.5,11,11,100.0
2015,22,2.2,10,10,100.0
2015,23,2.0,10,10,100.0
2015,24,7.5,11,11,100.0
2015,25,0.2,10,10,100.0
2015,26,0.0,10,10,100.0
2015,27,0.0,10,10,100.0
2015,28,28.5,10,10,100.0
2015,29,4.2,10,10,100.0
2015,30,0.5,11,11,100.0
2015,31,5.5,10,10,100.0
2015,32,1.6,10,10,100.0
2015,33,47.0,10,10,100.0
2015,34,35.400000000000006,10,10,100.0
2015,35,108.10000000000001,10,10,100.0
2015,36,11.9,11,11,100.0
2016,1,2.8,10,10,100.0
2016,2,16.1,10,10,100.0
2016,3,107.0,11,11,100.0
2016,4,99.1,10,10,100.0
2016,5,32.6,10,10,100.0
2016,6,140.2,9,9,100.0
2016,7,88.1,10,10,100.0
2016,8,53.1,10,10,100.0
2016,9,87.6,11,11,100.0
2016,10,16.1,10,10,100.0
2016,11,52.4,10,10,100.0
2016,12,19.5,10,10,100.0
2016,13,86.2,10,10,100.0
2016,14,3.5,10,10,100.0
2016,15,53.6,11,11,100.0
2016,16,23.9,10,10,100.0
2016,17,64.8,10,10,100.0
2016,18,4.3,10,10,100.0
2016,19,57.3,10,10,100.0
2016,20,69.0,10,10,100.0
2016,21,8.5,11,11,100.0
2016,22,13.200000000000001,10,10,100.0
2016,23,20.9,10,10,100.0
2016,24,52.5,11,11,100.0
2016,25,39.800000000000004,10,10,100.0
2016,26,64.7,10,10,100.0
2016,27,54.4,10,10,100.0
2016,28,48.4,10,10,100.0
2016,29,19.0,10,10,100.0
2016,30,96.0,11,11,100.0
2016,31,0.0,10,10,100.0
2016,32,95.5,10,10,100.0
2016,33,42.5,10,10,100.0
2016,34,129.8,10,10,100.0
2016,35,17.2,10,10,100.0
2016,36,31.8,11,11,100.0
2017,1,132.3,10,10,100.0
2017,2,107.6,10,10,100.0
2017,3,81.10000000000001,11,11,100.0
2017,4,49.0,10,10,100.0
2017,5,188.2,10,10,100.0
2017,6,113.9,8,8,100.0
